protein accession	superkingdom	phylum	class	order	family	species	genus	taxid
CFS11565.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
OOO02386.1	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales		Chromatiales bacterium USCg_Taylor		1934255.0
RUP08811.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Hyphomicrobium sp.	Hyphomicrobium	82.0
AEM63772.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
WP_142525987.1	Bacteria	Verrucomicrobia				Methylacidimicrobium cyclopophantes	Methylacidimicrobium	1041766.0
CAA9392197.1	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteraceae	uncultured Rubrobacteraceae bacterium		349277.0
ABF72417.1	Bacteria					uncultured bacterium		77133.0
OOO02385.1	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales		Chromatiales bacterium USCg_Taylor		1934255.0
AJA40484.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales		uncultured Nitrosomonadales bacterium		239992.0
CAA62337.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira multiformis	Nitrosospira	323848.0
ACS74833.1	Bacteria					uncultured bacterium		77133.0
AQU43382.1	Bacteria					uncultured bacterium		77133.0
BAO47768.1	Bacteria					uncultured bacterium		77133.0
ABD62295.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter sp. clone FIN1	Methylobacter	374905.0
WP_054774742.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylogaea oryzae	Methylogaea	1295382.0
CDQ47657.1	Bacteria					uncultured methanotrophic bacterium		288814.0
ABF72385.1	Bacteria					uncultured bacterium		77133.0
WP_066986564.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas lenta	Methylomonas	980561.0
WP_153546757.1	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces sp. RB17	Streptomyces	2585197.0
PKO84334.1	Bacteria	Proteobacteria	Betaproteobacteria			Betaproteobacteria bacterium HGW-Betaproteobacteria-11		2013702.0
AGO63567.1	Bacteria					uncultured methanotrophic bacterium		288814.0
AGU70048.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
AEW22821.1	Bacteria					uncultured bacterium		77133.0
ABD57885.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	uncultured Methylocystis sp. GSC357	Methylocystis	373382.0
WP_125999139.1	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium yanoikuyae	Sphingobium	13690.0
WP_215478921.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylovulum psychrotolerans	Methylovulum	1704499.0
AHF54174.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
AGC25108.1	Bacteria					uncultured bacterium		77133.0
CDQ47730.1	Bacteria					uncultured methanotrophic bacterium		288814.0
PWB82876.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystaceae bacterium		2052174.0
QEU52694.1	Bacteria					uncultured methanotrophic bacterium		288814.0
ADB96118.1	Bacteria					uncultured methanotrophic bacterium		288814.0
WP_017841992.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylotuvimicrobium buryatense	Methylotuvimicrobium	95641.0
AGK22808.1	Bacteria	candidate division NC10				uncultured candidate division NC10 bacterium		991135.0
AGW21788.1	Bacteria	Proteobacteria	Betaproteobacteria			uncultured beta proteobacterium		86027.0
WP_134356236.1	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Nitrosococcus wardiae	Nitrosococcus	1814290.0
AEG20712.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
ADI72509.1	Bacteria					uncultured bacterium		77133.0
QRM14006.1	Bacteria					uncultured bacterium		77133.0
CBL51795.1	Archaea					uncultured archaeon		115547.0
WP_119629307.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylocaldum marinum	Methylocaldum	1432792.0
WP_200515042.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium diazoefficiens	Bradyrhizobium	1355477.0
BAH22838.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcaceae bacterium ET-HIRO		557143.0
AXH37608.1	Archaea					uncultured archaeon		115547.0
WP_074684788.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae		Nitrosomonas	914.0
BAU69135.1	Archaea					uncultured archaeon		115547.0
CAC69488.1	Bacteria					uncultured methanotrophic bacterium M84-S38		140377.0
CDR85974.1	Archaea					uncultured archaeon		115547.0
WP_064023016.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas sp. DH-1	Methylomonas	1727196.0
ADN07631.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
BAJ17645.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylovulum miyakonense	Methylovulum	1078846.0
OGB00402.1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales		Burkholderiales bacterium RIFCSPHIGHO2_12_63_9		1797556.0
WP_166141661.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylosinus sp. RM1	Methylosinus	2583817.0
SDX19239.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas communis	Nitrosomonas	44574.0
WP_033159227.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas sp. LW13	Methylomonas	107637.0
APH10068.1	Bacteria					uncultured bacterium		77133.0
WP_085214203.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomagnum ishizawai	Methylomagnum	1760988.0
WP_106708387.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas sp. APG5	Nitrosomonas	2116706.0
ALK02807.1	Bacteria					uncultured bacterium		77133.0
APC65687.1	Bacteria					uncultured bacterium		77133.0
AFU56535.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
ADW83495.1	Bacteria					uncultured bacterium		77133.0
WP_093088658.1	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia oroxyli	Pseudonocardia	366584.0
WP_093285538.1	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Sinobacteraceae	Solimonas aquatica	Solimonas	489703.0
PPD16150.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis sp.	Methylocystis	1911079.0
BAW94427.1	Archaea					uncultured archaeon		115547.0
AFZ40005.1	Bacteria					uncultured bacterium		77133.0
TDJ69110.1	Bacteria	Proteobacteria				Proteobacteria bacterium		1977087.0
ARX77273.1	Bacteria					uncultured bacterium		77133.0
BAH22831.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcaceae bacterium ET-SHO		557142.0
WP_014889689.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis sp. SC2	Methylocystis	187303.0
WP_074707641.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira multiformis	Nitrosospira	1231.0
WP_012386302.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Beijerinckia indica	Beijerinckia	533.0
APH10071.1	Bacteria					uncultured bacterium		77133.0
AMR34886.1	Bacteria					uncultured bacterium		77133.0
AWJ65893.1	Bacteria					uncultured bacterium		77133.0
WP_114454668.1	Bacteria	Actinobacteria	Actinomycetia			Halopolyspora algeriensis	Halopolyspora	1500506.0
TAN70531.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter sp.	Methylobacter	2051955.0
CDR86024.1	Bacteria					uncultured bacterium		77133.0
AFL65412.1	Bacteria					uncultured bacterium		77133.0
AIY26120.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
ATY36157.1	Bacteria					uncultured bacterium		77133.0
WP_125218080.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomicrobium sp. wino1	Methylomicrobium	2049332.0
WP_139558021.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylotetracoccus oryzae	Methylotetracoccus	1919059.0
WP_093784101.1	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces guanduensis	Streptomyces	310781.0
AGD80524.1	Bacteria					uncultured bacterium		77133.0
WP_102845001.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Methylocella silvestris	Methylocella	199596.0
ANJ88647.1	Bacteria					uncultured bacterium		77133.0
AIF33985.1	Bacteria					uncultured bacterium		77133.0
WP_090900649.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Candidatus Nitrospira nitrificans	Nitrospira	1742973.0
AGO87359.1	Bacteria					uncultured bacterium		77133.0
KAF3977707.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales		Methylococcales symbiont of Iophon sp. n. MRB-2018		2282319.0
ABW75288.1	Bacteria	Proteobacteria	Gammaproteobacteria			uncultured Gammaproteobacteria bacterium		86473.0
ASM48262.1	Bacteria					uncultured bacterium		77133.0
AIF33927.1	Bacteria					uncultured bacterium		77133.0
CBL51769.1	Archaea					uncultured archaeon		115547.0
AGD80462.1	Bacteria					uncultured bacterium		77133.0
WP_136246236.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacterium intracellulare	Mycobacterium	1767.0
AXE71702.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	uncultured Methylocella sp.	Methylocella	371857.0
WP_167182103.1	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales		Aestuariicella hydrocarbonica	Aestuariicella	1470433.0
WP_091678745.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Methylocapsa palsarum	Methylocapsa	1612308.0
BAO50305.1	Bacteria					uncultured bacterium		77133.0
WP_085002931.1	Bacteria	Actinobacteria	Actinomycetia	Frankiales	Frankiaceae	Frankia casuarinae	Frankia	106370.0
WP_172727554.1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax delafieldii	Acidovorax	47920.0
WP_080137600.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium sacchari	Bradyrhizobium	1399419.0
QXE97087.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	uncultured Nitrospira sp.	Nitrospira	157176.0
WP_051362144.1	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Sinobacteraceae	Solimonas soli	Solimonas	413479.0
AAG16992.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	methanotroph M11		129798.0
AWJ65947.1	Bacteria					uncultured bacterium		77133.0
AWJ64837.1	Bacteria					uncultured bacterium		77133.0
WP_104955546.1	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium sp. SCG-1	Sphingobium	2072936.0
AOW69221.1	Archaea	Thaumarchaeota				uncultured thaumarchaeote		651141.0
AFQ37472.1	Bacteria	Proteobacteria	Gammaproteobacteria			uncultured methane-oxidizing gamma proteobacterium		1200391.0
CCD41937.1	Archaea					uncultured archaeon		115547.0
AGV40351.1	Bacteria	candidate division NC10				uncultured candidate division NC10 bacterium		991135.0
CBL51796.1	Archaea					uncultured archaeon		115547.0
AGO87411.1	Bacteria					uncultured bacterium		77133.0
WP_107568211.1	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Conexibacteraceae	Conexibacter sp. Seoho-28	Conexibacter	2133960.0
ALJ79065.1	Bacteria					uncultured bacterium		77133.0
WP_175783262.1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia anthina	Burkholderia	179879.0
ADC34237.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas methanica	Methylomonas	421.0
WP_110318564.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium moriokaense	Mycolicibacterium	39691.0
WP_095823162.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacterium avium	Mycobacterium	1764.0
WP_009154214.1	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Saccharomonospora marina	Saccharomonospora	632569.0
WP_048862299.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidisphaera rubrifaciens	Acidisphaera	50715.0
BAM95882.1	Bacteria					uncultured bacterium		77133.0
AGS16452.1	Archaea	Crenarchaeota				uncultured crenarchaeote		29281.0
AWI63822.1	Archaea					uncultured ammonia-oxidizing archaeon		418404.0
WP_006891798.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter tundripaludum	Methylobacter	173365.0
WP_174242398.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylosinus sp. C49	Methylosinus	2699395.0
WP_018265151.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylosinus sp. LW4	Methylosinus	136993.0
OUS10043.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium 53_120_T64		1856295.0
WP_206847608.1	Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum sp. IT5	Methylacidiphilum	2795384.0
WP_097065283.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae			206379.0
AQU43349.1	Archaea					uncultured archaeon		115547.0
WP_159014047.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidisoma sp. S159	Acidisoma	1747225.0
APH10066.1	Bacteria					uncultured bacterium		77133.0
AAM11581.1	Bacteria					uncultured bacterium		77133.0
CBH32116.1	Bacteria					uncultured bacterium		77133.0
AIY26075.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
WP_090475935.1	Bacteria	Actinobacteria	Actinomycetia	Nakamurellales	Nakamurellaceae	Nakamurella panacisegetis	Nakamurella	1090615.0
WP_011635096.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas eutropha	Nitrosomonas	916.0
WP_027159171.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter luteus	Methylobacter	415.0
ACY38030.1	Archaea	Crenarchaeota				uncultured crenarchaeote		29281.0
AGD80468.1	Bacteria					uncultured bacterium		77133.0
WP_114969214.1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax sp. OTU1	Rhodoferax	2109322.0
AGD80487.1	Bacteria					uncultured bacterium		77133.0
WP_024879511.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae			31993.0
PCI71206.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsiaceae bacterium		2030828.0
AWJ65692.1	Bacteria					uncultured bacterium		77133.0
OYV16785.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcaceae bacterium NSM2-1		1917482.0
QKG32952.1	Bacteria					uncultured bacterium		77133.0
AJM90754.1	Bacteria					uncultured bacterium		77133.0
WP_086132855.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae		Methylocaldum	2622260.0
AKH11980.1	Archaea	Thaumarchaeota				uncultured thaumarchaeote		651141.0
CDH93657.1	Archaea	Thaumarchaeota				uncultured thaumarchaeote		651141.0
BAO10787.1	Archaea					uncultured ammonia-oxidizing archaeon		418404.0
WP_146317316.1	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Dermacoccaceae	Leekyejoonella antrihumi	Leekyejoonella	1660198.0
AWJ64965.1	Bacteria					uncultured bacterium		77133.0
AFL65246.1	Bacteria					uncultured bacterium		77133.0
WP_074706237.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira multiformis	Nitrosospira	1231.0
QCP85510.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Cereibacter sphaeroides	Cereibacter	1063.0
ABP94001.1	Bacteria					uncultured bacterium		77133.0
AIF33952.1	Bacteria					uncultured bacterium		77133.0
ALU85047.1	Bacteria					uncultured bacterium		77133.0
AAQ56633.1	Bacteria					uncultured bacterium		77133.0
ORU91034.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus sp. symbiont of Poecilosclerida sp. N	Cycloclasticus	1840472.0
APZ84161.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira sp.	Nitrosospira	38080.0
CAL69044.1	Bacteria					uncultured bacterium		77133.0
CBL51778.1	Archaea					uncultured archaeon		115547.0
AIY26076.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
ABL85622.1	Bacteria					uncultured bacterium		77133.0
QXE97050.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	uncultured Nitrospira sp.	Nitrospira	157176.0
ABW23501.1	Bacteria	Proteobacteria	Betaproteobacteria			uncultured beta proteobacterium		86027.0
AHH01427.1	Bacteria					uncultured methanotrophic bacterium		288814.0
CAA9392164.1	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteraceae	uncultured Rubrobacteraceae bacterium		349277.0
QPZ44516.1	Archaea					uncultured archaeon		115547.0
WP_107560874.1	Bacteria	candidate division NC10				Candidatus Methylomirabilis limnetica	Candidatus Methylomirabilis	2033718.0
CBL51764.1	Archaea					uncultured archaeon		115547.0
ADN52297.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
ALJ83817.1	Bacteria					uncultured bacterium		77133.0
ADY75690.1	Bacteria					uncultured methanotrophic bacterium		288814.0
WP_027157617.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter luteus	Methylobacter	415.0
ADK38846.1	Archaea	Crenarchaeota				uncultured crenarchaeote		29281.0
AFL48409.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
AAZ77769.1	Bacteria					uncultured bacterium		77133.0
QOQ37906.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	uncultured Nitrospira sp.	Nitrospira	157176.0
SHO44665.1	Archaea	Thaumarchaeota				Candidatus Nitrosotalea sinensis	Candidatus Nitrosotalea	1499975.0
BAX00471.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylosinus sp. SM-2017	Methylosinus	1963398.0
AXG24271.1	Bacteria	Proteobacteria				uncultured proteobacterium		153809.0
AAT91834.1	Bacteria					uncultured bacterium		77133.0
WP_090415882.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas halophila	Nitrosomonas	44576.0
AFU56041.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
ACY30682.1	Archaea	Crenarchaeota				uncultured crenarchaeote		29281.0
AHZ45967.1	Archaea	Thaumarchaeota				uncultured thaumarchaeote		651141.0
ALL53243.1	Bacteria					uncultured bacterium		77133.0
WP_039720684.1	Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum kamchatkense	Methylacidiphilum	431057.0
ABW23496.1	Bacteria	Proteobacteria	Betaproteobacteria			uncultured beta proteobacterium		86027.0
CBL51782.1	Archaea					uncultured archaeon		115547.0
AKN81131.1	Bacteria	candidate division NC10				uncultured candidate division NC10 bacterium		991135.0
WP_206864535.1	Bacteria	Verrucomicrobia				Methylacidimicrobium sp. B4	Methylacidimicrobium	2796139.0
WP_187099575.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium fluoranthenivorans	Mycolicibacterium	258505.0
KAA8959856.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacterium sp.	Mycobacterium	1785.0
BBU62145.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylosinus sp. C49	Methylosinus	2699395.0
BAO50544.1	Bacteria					uncultured bacterium		77133.0
ABI97121.1	Bacteria					uncultured bacterium		77133.0
AXG65166.1	Bacteria	Proteobacteria				uncultured methane-oxidizing bacterium		559967.0
QGT32274.1	Bacteria	candidate division NC10				uncultured candidate division NC10 bacterium		991135.0
ACD50199.1	Archaea	Crenarchaeota				uncultured crenarchaeote		29281.0
TMC94224.1	Bacteria	Chloroflexi				Chloroflexi bacterium		2026724.0
